SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
2465;Soupe Texane (maïs, poivrons);;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Texane (maïs, poivrons);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2922;Grande Salade Vietnamienne;;;article;7.5;;SALADE;carte londres détaillée Livraison/SALADE;Grande Salade Vietnamienne;GREEN;Accentuer;;;;;;;GLOBAL;;;;
2896;Wrap (Saumon , miel/moutarde);;;article;5.5;;Sandwich;carte londres détaillée Livraison/SANDWICH;Wrap (Saumon , miel/moutarde);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2923;Salade (Bettrave, aubergines, feta);;;article;6.5;;SALADE;carte londres détaillée Livraison/SALADE;Salade (bettraves, aubergines, feta);BLUE;Accentuer;;;;;;;SHARED;;;;
2936;Shot Collagen;;;article;2.5;;autres;carte londres détaillée local/AUTRES, carte londres détaillée/AUTRES;Shot Collagen;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2937;Riste aubergine, fêta, risonni;;;article;7.5;;PLATS;carte londres détaillée local/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;Riste aubergine, fêta, risonni;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2946;Tea;;;article;2.5;;autres;carte londres détaillée local/AUTRES, carte londres détaillée/AUTRES;Tea;BLUE;Accentuer;;;;;;;GLOBAL;;;;
3042;Booster (spiruline, guarana..);;;article;1.0;;autres;carte londres détaillée local/JUS, carte londres détaillée/JUS;Booster (spiruline, guarana..);BLUE;Accentuer;;;;;;;GLOBAL;;;;
3049;Booster (Colagene);;;article;2.5;;autres;carte londres détaillée local/JUS, carte londres détaillée/JUS;Booster (Colagene);BLUE;Accentuer;;;;;;;GLOBAL;;;;
3056;Milkshake;;;article;6.0;;jus de fruit;carte londres détaillée local/JUS, carte londres détaillée/JUS;Milkshake;BLUE;Accentuer;;;;;;;SHARED;;;;
3927;Mega salade;;;article;10.5;;SALADE;carte londres détaillée/SALADE;Mega salade;BLUE;Accentuer;;;;;;;GLOBAL;;;;
